REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
VIC1,"1999/10/01 00:30",5233.85333,14.46,TRADE
VIC1,"1999/10/01 01:00",5074.38,14.15,TRADE
VIC1,"1999/10/01 01:30",5338.95167,15.16,TRADE
VIC1,"1999/10/01 02:00",5194.93167,15.41,TRADE
VIC1,"1999/10/01 02:30",4963.25833,14.06,TRADE
VIC1,"1999/10/01 03:00",4710.01333,12.98,TRADE
VIC1,"1999/10/01 03:30",4572.46333,4.82,TRADE
VIC1,"1999/10/01 04:00",4446.06833,4.77,TRADE
VIC1,"1999/10/01 04:30",4337.605,11.52,TRADE
VIC1,"1999/10/01 05:00",4337.19333,12.39,TRADE
VIC1,"1999/10/01 05:30",4367.28667,11.8,TRADE
VIC1,"1999/10/01 06:00",4537.21833,13.62,TRADE
VIC1,"1999/10/01 06:30",4771.485,14.46,TRADE
VIC1,"1999/10/01 07:00",5086.10667,15.01,TRADE
VIC1,"1999/10/01 07:30",5087.09167,14.21,TRADE
VIC1,"1999/10/01 08:00",5353.30167,14.62,TRADE
VIC1,"1999/10/01 08:30",5497.42,14.6,TRADE
VIC1,"1999/10/01 09:00",5564.505,14.48,TRADE
VIC1,"1999/10/01 09:30",5618.53833,14.14,TRADE
VIC1,"1999/10/01 10:00",5552.33,14.03,TRADE
VIC1,"1999/10/01 10:30",5566.53167,14.19,TRADE
VIC1,"1999/10/01 11:00",5530.75333,14.05,TRADE
VIC1,"1999/10/01 11:30",5569.70833,14.01,TRADE
VIC1,"1999/10/01 12:00",5523.15667,13.98,TRADE
VIC1,"1999/10/01 12:30",5469.025,13.73,TRADE
VIC1,"1999/10/01 13:00",5445.87833,12.03,TRADE
VIC1,"1999/10/01 13:30",5451.42333,11.97,TRADE
VIC1,"1999/10/01 14:00",5395.325,13.1,TRADE
VIC1,"1999/10/01 14:30",5408.20667,13.14,TRADE
VIC1,"1999/10/01 15:00",5332.67333,9.81,TRADE
VIC1,"1999/10/01 15:30",5318.51,13.1,TRADE
VIC1,"1999/10/01 16:00",5262.235,12.98,TRADE
VIC1,"1999/10/01 16:30",5219.26167,9.33,TRADE
VIC1,"1999/10/01 17:00",5228.93333,9.29,TRADE
VIC1,"1999/10/01 17:30",5274.84,11.32,TRADE
VIC1,"1999/10/01 18:00",5294.47,11.75,TRADE
VIC1,"1999/10/01 18:30",5332.48167,13.42,TRADE
VIC1,"1999/10/01 19:00",5471.54833,12.74,TRADE
VIC1,"1999/10/01 19:30",5477.85333,12.02,TRADE
VIC1,"1999/10/01 20:00",5400.495,11.15,TRADE
VIC1,"1999/10/01 20:30",5310.28333,13.7,TRADE
VIC1,"1999/10/01 21:00",5273.96667,12.88,TRADE
VIC1,"1999/10/01 21:30",5131.76833,12.53,TRADE
VIC1,"1999/10/01 22:00",5018.50167,10.38,TRADE
VIC1,"1999/10/01 22:30",5001.28833,13.83,TRADE
VIC1,"1999/10/01 23:00",4968.44,13.91,TRADE
VIC1,"1999/10/01 23:30",5439.46333,22.81,TRADE
VIC1,"1999/10/02 00:00",5370.675,16.85,TRADE
VIC1,"1999/10/02 00:30",5178.455,16.09,TRADE
VIC1,"1999/10/02 01:00",4956.515,14.51,TRADE
VIC1,"1999/10/02 01:30",5246.11333,18.94,TRADE
VIC1,"1999/10/02 02:00",5109.34167,18.17,TRADE
VIC1,"1999/10/02 02:30",4906.93,15.67,TRADE
VIC1,"1999/10/02 03:00",4664.25833,14.03,TRADE
VIC1,"1999/10/02 03:30",4509.09,13.57,TRADE
VIC1,"1999/10/02 04:00",4369.03167,12.47,TRADE
VIC1,"1999/10/02 04:30",4292.89667,11.52,TRADE
VIC1,"1999/10/02 05:00",4256.335,12.2,TRADE
VIC1,"1999/10/02 05:30",4214.09833,12.23,TRADE
VIC1,"1999/10/02 06:00",4273.68,12.16,TRADE
VIC1,"1999/10/02 06:30",4359.3,12.23,TRADE
VIC1,"1999/10/02 07:00",4448.07833,12.43,TRADE
VIC1,"1999/10/02 07:30",4448.16333,12.69,TRADE
VIC1,"1999/10/02 08:00",4591.27167,13.08,TRADE
VIC1,"1999/10/02 08:30",4719.17167,13.83,TRADE
VIC1,"1999/10/02 09:00",4803.13833,14.53,TRADE
VIC1,"1999/10/02 09:30",4820.35,16.86,TRADE
VIC1,"1999/10/02 10:00",4842.02,15.77,TRADE
VIC1,"1999/10/02 10:30",4819.29667,14.09,TRADE
VIC1,"1999/10/02 11:00",4782.35,14.27,TRADE
VIC1,"1999/10/02 11:30",4758.455,14.01,TRADE
VIC1,"1999/10/02 12:00",4708.40833,13.19,TRADE
VIC1,"1999/10/02 12:30",4664.07,12.22,TRADE
VIC1,"1999/10/02 13:00",4639.58667,12.14,TRADE
VIC1,"1999/10/02 13:30",4626.11333,12.14,TRADE
VIC1,"1999/10/02 14:00",4595.71,12.19,TRADE
VIC1,"1999/10/02 14:30",4538.92833,12.13,TRADE
VIC1,"1999/10/02 15:00",4486.15667,12.15,TRADE
VIC1,"1999/10/02 15:30",4440.25667,12.13,TRADE
